name,publisher,issn,h_index,keywords,subject_area,open_access,apc_usd,openalex_id,works_count,is_oa,is_in_doaj
APL Photonics,AIP Publishing,2378-0967,79,"photonic and optical devices,advanced fiber laser technologies,optical network technologies,mechanical and optical resonators,orbital angular momentum in optics",Photonic and Optical Devices,true,2750,https://openalex.org/S4210226744,1685,true,true
Indian Journal of Nuclear Medicine,Medknow,0972-3919,24,"medical imaging and pathology studies,medical imaging techniques and applications,radiopharmaceutical chemistry and applications,thyroid cancer diagnosis and treatment,radiomics and machine learning in medical imaging",Medical Imaging and Pathology Studies,false,0,https://openalex.org/S124337433,1683,false,false
Journal of Computer-Aided Design & Computer Graphics,Science Press,1003-9775,13,"3d shape modeling and analysis,legal and regulatory analysis,linguistic, cultural, and literary studies,military technology and strategies,advanced numerical analysis techniques",3D Shape Modeling and Analysis,false,0,https://openalex.org/S4210220856,1683,false,false
IEEE Transactions on Circuit Theory,Institute of Electrical and Electronics Engineers,0018-9324,69,"matrix theory and algorithms,analog and mixed-signal circuit design,digital filter design and implementation,radio frequency integrated circuit design,low-power high-performance vlsi design",Matrix Theory and Algorithms,false,0,https://openalex.org/S73818907,1683,false,false
Forum,Springer Science+Business Media,0947-0255,13,"health and medical studies,medical and health sciences research,economic and financial impacts of cancer,clinical practice guidelines implementation,cancer survivorship and care",Health and Medical Studies,false,0,https://openalex.org/S4210228950,1682,false,false
KIVA,Taylor & Francis,0023-1940,38,"archaeology and ancient environmental studies,archaeology and natural history,pleistocene-era hominins and archaeology,archaeology and rock art studies,historical and cultural archaeology studies",Archaeology and ancient environmental studies,false,0,https://openalex.org/S4210191359,1679,false,false
e-Journal of Nondestructive Testing,e-Journal of Nondestructive Testing,1435-4934,10,"ultrasonics and acoustic wave propagation,advanced x-ray and ct imaging,structural health monitoring techniques,non-destructive testing techniques,medical imaging techniques and applications",Ultrasonics and Acoustic Wave Propagation,true,0,https://openalex.org/S4387284822,1679,true,true
Archives of Osteoporosis,Springer Science+Business Media,1862-3514,64,"bone health and osteoporosis research,hip and femur fractures,bone health and treatments,vitamin d research studies,bone metabolism and diseases",Bone health and osteoporosis research,false,2790,https://openalex.org/S151413946,1678,false,false
Advances in respiratory medicine,Advances in respiratory medicine,2451-4934,34,"chronic obstructive pulmonary disease (copd) research,interstitial lung diseases and idiopathic pulmonary fibrosis,asthma and respiratory diseases,respiratory support and mechanisms,medical imaging and pathology studies",Chronic Obstructive Pulmonary Disease (COPD) Research,true,1300,https://openalex.org/S2765076663,1678,true,true
International Journal of Computational Methods,World Scientific,0219-8762,49,"numerical methods in engineering,advanced numerical methods in computational mathematics,fluid dynamics simulations and interactions,composite structure analysis and optimization,geotechnical engineering and underground structures",Numerical methods in engineering,false,0,https://openalex.org/S42084661,1678,false,false
Chinese Journal of Aerospace Medicine,Chinese Medical Association,,4,"high altitude and hypoxia,spaceflight effects on biology,occupational health and performance,cardiovascular and diving-related complications,legal and regulatory analysis",High Altitude and Hypoxia,false,0,https://openalex.org/S2764802425,1677,false,false
Applied Bionics and Biomechanics,Hindawi Publishing Corporation,1176-2322,49,"muscle activation and electromyography studies,prosthetics and rehabilitation robotics,stroke rehabilitation and recovery,robotic locomotion and control,lower extremity biomechanics and pathologies",Muscle activation and electromyography studies,true,1650,https://openalex.org/S50311662,1677,true,true
Journal of Micro/Nanolithography MEMS and MOEMS,SPIE,1932-5134,48,"advancements in photolithography techniques,nanofabrication and lithography techniques,integrated circuits and semiconductor failure analysis,optical coatings and gratings,electron and x-ray spectroscopy techniques",Advancements in Photolithography Techniques,false,0,https://openalex.org/S205064806,1675,false,false
SKRIPSI Jurusan Sastra Indonesia - Fakultas Sastra UM,SKRIPSI Jurusan Sastra Indonesia - Fakultas Sastra UM,,9,"educational methods and media use,educational research and methods,stem education,linguistics and language analysis,arabic language education studies",Educational Methods and Media Use,false,0,https://openalex.org/S4306530159,1675,false,false
Intisari Sains Medis,Udayana University,2089-9084,16,"public health and nutrition,healthcare quality and satisfaction,methodologies in health research and practice,medicinal plant research,covid-19 prevention and impact",Public Health and Nutrition,true,0,https://openalex.org/S2738170991,1673,true,false
China Pulp & Paper,China Pulp & Paper,,6,"lignin and wood chemistry,material properties and processing,advanced cellulose research studies,water quality monitoring and analysis,industrial technology and control systems",Lignin and Wood Chemistry,false,0,https://openalex.org/S4306506045,1671,false,false
Jurnal Informatika dan Teknik Elektro Terapan,Jurnal Informatika dan Teknik Elektro Terapan,2303-0577,18,"edcuational technology systems,multimedia learning systems,decision support system applications,data mining and machine learning applications,iot-based control systems",Edcuational Technology Systems,true,0,https://openalex.org/S4210184485,1667,true,false
Journal of ISAKOS Joint Disorders & Orthopaedic Sports Medicine,Elsevier BV,2059-7754,34,"knee injuries and reconstruction techniques,total knee arthroplasty outcomes,shoulder injury and treatment,sports injuries and prevention,shoulder and clavicle injuries",Knee injuries and reconstruction techniques,true,1500,https://openalex.org/S4210197731,1666,true,true
Journal of Machine Learning Research,The MIT Press,1532-4435,181,"neural networks and applications,machine learning and algorithms,face and expression recognition,bayesian modeling and causal inference,statistical methods and inference",Neural Networks and Applications,false,0,https://openalex.org/S118988714,1665,false,false
Current Opinion in Electrochemistry,Elsevier BV,2451-9103,97,"electrochemical analysis and applications,electrocatalysts for energy conversion,advanced battery technologies research,electrochemical sensors and biosensors,fuel cells and related materials",Electrochemical Analysis and Applications,false,3700,https://openalex.org/S2764372282,1665,false,false
Cermin Dunia Kedokteran,Cermin Dunia Kedokteran,0125-913X,15,"public health and nutrition,medicinal plant research,covid-19 prevention and impact,methodologies in health research and practice,sports and physical education research",Public Health and Nutrition,false,0,https://openalex.org/S4210196604,1665,false,false
Journal of Postgraduate Medicine,Medknow,0022-3859,61,"infectious diseases and tuberculosis,innovations in medical education,systemic lupus erythematosus research,medical imaging and pathology studies,health and medical research impacts",Infectious Diseases and Tuberculosis,true,0,https://openalex.org/S80339509,1665,true,false
Informatics in Medicine Unlocked,Elsevier BV,2352-9148,87,"computational drug discovery methods,covid-19 diagnosis using ai,ai in cancer detection,artificial intelligence in healthcare,machine learning in healthcare",Computational Drug Discovery Methods,true,1400,https://openalex.org/S2898224164,1664,true,true
Revista Española de Medicina Nuclear e Imagen Molecular,Elsevier BV,2253-654X,21,"medical imaging techniques and applications,medical imaging and pathology studies,radiomics and machine learning in medical imaging,neuroendocrine tumor research advances,prostate cancer treatment and research",Medical Imaging Techniques and Applications,false,3400,https://openalex.org/S4210170870,1663,false,false
Computer Animation and Virtual Worlds,Wiley,1546-4261,54,"computer graphics and visualization techniques,human motion and animation,3d shape modeling and analysis,advanced vision and imaging,human pose and action recognition",Computer Graphics and Visualization Techniques,false,3040,https://openalex.org/S100062975,1660,false,false
Zhongguo pu-wai jichu yu linchuang zazhi,West China Hospital,1007-9424,3,"gastric cancer management and outcomes,cholangiocarcinoma and gallbladder cancer studies,organ transplantation techniques and outcomes,cancer research and treatments,pancreatic and hepatic oncology research",Gastric Cancer Management and Outcomes,false,0,https://openalex.org/S2764461906,1659,false,false
The Transactions of the Korea Information Processing Society,The Transactions of the Korea Information Processing Society,,3,"distributed and parallel computing systems,mobile agent-based network management,multimedia communication and technology,service-oriented architecture and web services,cloud computing and resource management",Distributed and Parallel Computing Systems,false,0,https://openalex.org/S4306532753,1657,false,false
International Journal of Bio-Medical Computing,Elsevier BV,0020-7101,51,"human auditory perception and evaluation,educational robotics and engineering,electronic health records systems,diverse scientific and economic studies,eeg and brain-computer interfaces",Human auditory perception and evaluation,false,0,https://openalex.org/S4210229455,1656,false,false
Indian Journal of Case Reports,Indian Journal of Case Reports,2454-129X,6,"sarcoma diagnosis and treatment,gastrointestinal disorders and treatments,oral and maxillofacial pathology,urological disorders and treatments,bone tumor diagnosis and treatments",Sarcoma Diagnosis and Treatment,true,0,https://openalex.org/S2764668775,1655,true,false
Journal of Protein Chemistry,Springer Science+Business Media,0277-8033,70,"protein structure and dynamics,enzyme structure and function,hemoglobin structure and function,glycosylation and glycoproteins research,mass spectrometry techniques and applications",Protein Structure and Dynamics,false,0,https://openalex.org/S68211258,1654,false,false
Jurnal Ilmiah Mahasiswa Pertanian,Jurnal Ilmiah Mahasiswa Pertanian,2614-6053,11,"plant growth and agriculture techniques,food and agricultural sciences,agricultural development and management,agriculture and agroindustry studies,agricultural research and practices",Plant Growth and Agriculture Techniques,true,0,https://openalex.org/S4210221283,1652,true,false
Structural Dynamics,AIP Publishing,2329-7778,47,"advanced electron microscopy techniques and applications,enzyme structure and function,advanced x-ray imaging techniques,protein structure and dynamics,electron and x-ray spectroscopy techniques",Advanced Electron Microscopy Techniques and Applications,true,2200,https://openalex.org/S2737888654,1650,true,true
Geo-spatial Information Science,Taylor & Francis,1009-5020,57,"geographic information systems studies,data management and algorithms,remote sensing and land use,remote sensing in agriculture,remote sensing and lidar applications",Geographic Information Systems Studies,true,1625,https://openalex.org/S36798160,1650,true,true
International Journal of Anatomy and Research,International Journal of Anatomy and Research,2321-4287,17,"peripheral nerve disorders,vascular anomalies and interventions,forensic anthropology and bioarchaeology studies,anatomy and medical technology,shoulder and clavicle injuries",Peripheral Nerve Disorders,false,0,https://openalex.org/S4210239912,1648,false,false
Bone and Mineral,Elsevier BV,0169-6009,83,"bone health and treatments,bone health and osteoporosis research,bone metabolism and diseases,parathyroid disorders and treatments,vitamin d research studies",Bone health and treatments,false,0,https://openalex.org/S92990767,1648,false,false
Thoracic surgery clinics/Thorac. surg. clin.,Elsevier BV,1547-4127,64,"lung cancer diagnosis and treatment,pleural and pulmonary diseases,tracheal and airway disorders,esophageal and gi pathology,lung cancer treatments and mutations",Lung Cancer Diagnosis and Treatment,false,0,https://openalex.org/S4210230859,1646,false,false
IEEE Transactions on Artificial Intelligence,Institute of Electrical and Electronics Engineers,2691-4581,54,"adversarial robustness in machine learning,big data and digital economy,neural networks and applications,advanced neural network applications,domain adaptation and few-shot learning",Adversarial Robustness in Machine Learning,false,0,https://openalex.org/S4210169448,1644,false,false
Book of Abstracts,Book of Abstracts,,10,"business and economic development,radiation detection and scintillator technologies,economic issues in ukraine,radioactivity and radon measurements,nuclear physics and applications",Business and Economic Development,false,0,https://openalex.org/S4306504852,1642,false,false
中华胸心血管外科杂志,中华胸心血管外科杂志,,2,"legal and regulatory analysis,linguistic, cultural, and literary studies,military technology and strategies,congenital heart disease studies,cardiac valve diseases and treatments",Legal and Regulatory Analysis,false,0,https://openalex.org/S4306541290,1642,false,false
浙江大学学报：A卷英文版,浙江大学学报：A卷英文版,,17,"video coding and compression technologies,advanced numerical analysis techniques,geotechnical engineering and underground structures,structural engineering and vibration analysis,vibration and dynamic analysis",Video Coding and Compression Technologies,false,0,https://openalex.org/S4306553843,1642,false,false
IEEE Transactions on Emerging Topics in Computational Intelligence,Institute of Electrical and Electronics Engineers,2471-285X,69,"big data and digital economy,neural networks and applications,metaheuristic optimization algorithms research,anomaly detection techniques and applications,advanced multi-objective optimization algorithms",Big Data and Digital Economy,false,0,https://openalex.org/S4210210251,1641,false,false
Minerva Medica,Edizioni Minerva Medica,0026-4806,39,"liver disease diagnosis and treatment,cancer-related molecular mechanisms research,microrna in disease regulation,circular rnas in diseases,covid-19 clinical research studies",Liver Disease Diagnosis and Treatment,false,0,https://openalex.org/S50928832,1641,false,false
Journal of Statistical Software,Foundation for Open Access Statistics,1548-7660,227,"statistical methods and bayesian inference,statistical methods and inference,data analysis with r,bayesian methods and mixture models,advanced statistical methods and models",Statistical Methods and Bayesian Inference,true,0,https://openalex.org/S167961193,1638,true,true
Computation,Multidisciplinary Digital Publishing Institute,2079-3197,42,"fluid dynamics and turbulent flows,lattice boltzmann simulation studies,advanced chemical physics studies,wind and air flow studies,fractional differential equations solutions",Fluid Dynamics and Turbulent Flows,true,1400,https://openalex.org/S2738402919,1638,true,true
Electronic Research Archive,American Institute of Mathematical Sciences,2688-1594,22,"nonlinear partial differential equations,mathematical and theoretical epidemiology and ecology models,advanced mathematical modeling in engineering,fractional differential equations solutions,advanced mathematical physics problems",Nonlinear Partial Differential Equations,true,1000,https://openalex.org/S4210240239,1637,true,true
日本胸部疾患学会雑誌,日本胸部疾患学会雑誌,,3,"legal and regulatory analysis,linguistic, cultural, and literary studies,military technology and strategies,interstitial lung diseases and idiopathic pulmonary fibrosis,pleural and pulmonary diseases",Legal and Regulatory Analysis,false,0,https://openalex.org/S4306551422,1634,false,false
Journal of Medical and Biological Engineering,Springer Science+Business Media,1609-0985,56,"eeg and brain-computer interfaces,bone tissue engineering materials,muscle activation and electromyography studies,ecg monitoring and analysis,medical imaging techniques and applications",EEG and Brain-Computer Interfaces,false,2490,https://openalex.org/S8769598,1631,false,false
Nature Biomedical Engineering,Nature Portfolio,2157-846X,192,"crispr and genetic engineering,car-t cell therapy research,neuroscience and neural engineering,3d printing in biomedical research,immunotherapy and immune responses",CRISPR and Genetic Engineering,false,9750,https://openalex.org/S2764624792,1630,false,false
Journal of Computer and Communications,Scientific Research Publishing,2327-5219,38,"iot and edge/fog computing,network security and intrusion detection,blockchain technology applications and security,anomaly detection techniques and applications,cloud computing and resource management",IoT and Edge/Fog Computing,true,0,https://openalex.org/S4210198603,1630,true,false
Machinery,Machinery,1753-0482,3,"educational robotics and engineering,manufacturing process and optimization,human auditory perception and evaluation,diverse scientific and economic studies,digital transformation in industry",Educational Robotics and Engineering,false,0,https://openalex.org/S4393917720,1630,false,false
Discussiones Mathematicae Graph Theory,De Gruyter Open,1234-3099,38,"advanced graph theory research,graph labeling and dimension problems,graph theory and applications,limits and structures in graph theory,graph theory and cdma systems",Advanced Graph Theory Research,true,0,https://openalex.org/S2738357781,1628,true,true
Journal of information science and engineering,Institute of Information Science,1016-2364,40,"advanced database systems and queries,interconnection networks and systems,parallel computing and optimization techniques,cryptography and data security,data management and algorithms",Advanced Database Systems and Queries,false,0,https://openalex.org/S106179100,1627,false,false
Zhonghua wei-chang waike zazhi,Chinese Medical Association,1671-0274,3,"legal and regulatory analysis,linguistic, cultural, and literary studies,military technology and strategies,gastric cancer management and outcomes,medical research and treatments",Legal and Regulatory Analysis,false,0,https://openalex.org/S2764649534,1627,false,false
정보 및 제어 심포지엄 논문집,정보 및 제어 심포지엄 논문집,,3,"legal and regulatory analysis,linguistic, cultural, and literary studies,military technology and strategies,internet of things and social network interactions,engineering applied research",Legal and Regulatory Analysis,false,0,https://openalex.org/S4306493546,1627,false,false
Archives of Computational Methods in Engineering,Springer Science+Business Media,1134-3060,143,"metaheuristic optimization algorithms research,advanced numerical methods in computational mathematics,numerical methods in engineering,advanced multi-objective optimization algorithms,composite structure analysis and optimization",Metaheuristic Optimization Algorithms Research,false,3290,https://openalex.org/S65486112,1627,false,false
Encyclopedia of Biometrics,Encyclopedia of Biometrics,,22,"biometric identification and security,user authentication and security systems,face recognition and analysis,face and expression recognition,forensic fingerprint detection methods",Biometric Identification and Security,false,0,https://openalex.org/S4306509329,1626,false,false
International Journal of Multimedia and Ubiquitous Engineering,Global Vision Press,1975-0080,27,"advanced image and video retrieval techniques,video analysis and summarization,energy efficient wireless sensor networks,image retrieval and classification techniques,multimedia communication and technology",Advanced Image and Video Retrieval Techniques,false,0,https://openalex.org/S4210175952,1625,false,false
Bulletin Géodésique,Springer Nature,0007-4632,33,"geophysics and gravity measurements,historical geography and cartography,gnss positioning and interference,inertial sensor and navigation,geodetic measurements and engineering structures",Geophysics and Gravity Measurements,false,0,https://openalex.org/S4210224534,1622,false,false
SKRIPSI Jurusan Teknik Elektro - Fakultas Teknik UM,SKRIPSI Jurusan Teknik Elektro - Fakultas Teknik UM,,2,"educational methods and media use,stem education,blockchain technology in education and learning,educational curriculum and learning methods,edcuational technology systems",Educational Methods and Media Use,false,0,https://openalex.org/S4306530167,1622,false,false
日本消化器病学会雑誌,日本消化器病学会雑誌,,4,"legal and regulatory analysis,linguistic, cultural, and literary studies,military technology and strategies,helicobacter pylori-related gastroenterology studies,food quality and safety studies",Legal and Regulatory Analysis,false,0,https://openalex.org/S4306551157,1620,false,false
Seminars in Radiation Oncology,Elsevier BV,1053-4296,122,"advanced radiotherapy techniques,radiation therapy and dosimetry,medical imaging techniques and applications,effects of radiation exposure,lung cancer diagnosis and treatment",Advanced Radiotherapy Techniques,false,3230,https://openalex.org/S104833954,1619,false,false
Journal of Biomedical Engineering Research,Journal of Biomedical Engineering Research,1229-0807,8,"linguistic, cultural, and literary studies,legal and regulatory analysis,military technology and strategies,eeg and brain-computer interfaces,non-invasive vital sign monitoring","Linguistic, Cultural, and Literary Studies",false,0,https://openalex.org/S4306515369,1616,false,false
党的生活（青海）,党的生活（青海）,,0,"legal and regulatory analysis,linguistic, cultural, and literary studies,military technology and strategies,assisted reproductive technology and twin pregnancy,ovarian function and disorders",Legal and Regulatory Analysis,false,0,https://openalex.org/S4306543774,1614,false,false
Journal of Korea Game Society,Journal of Korea Game Society,1598-4540,10,"education and learning interventions,digital games and media,diverse topics in contemporary research,diverse approaches in healthcare and education studies,innovation in digital healthcare systems",Education and Learning Interventions,false,0,https://openalex.org/S4210175187,1612,false,false
Croatian Medical Journal,"Medicinska naklada, Zagreb",0353-9504,63,"forensic and genetic research,health and medical research impacts,health systems, economic evaluations, quality of life,molecular biology techniques and applications,ethics in clinical research",Forensic and Genetic Research,true,0,https://openalex.org/S176326776,1611,true,true
Expert Review of Proteomics,Taylor & Francis,1478-9450,87,"advanced proteomics techniques and applications,mass spectrometry techniques and applications,metabolomics and mass spectrometry studies,advanced biosensing techniques and applications,monoclonal and polyclonal antibodies research",Advanced Proteomics Techniques and Applications,false,0,https://openalex.org/S96346590,1610,false,false
International Journal of Particle Therapy,International Journal of Particle Therapy,2331-5180,30,"radiation therapy and dosimetry,advanced radiotherapy techniques,boron compounds in chemistry,effects of radiation exposure,head and neck cancer studies",Radiation Therapy and Dosimetry,true,0,https://openalex.org/S4210219142,1607,true,true
Geography and Geo-Information Science,Hebei Institute of Geographical Sciences,,12,"remote sensing and land use,regional economic and spatial analysis,environmental changes in china,advanced computational techniques and applications,evaluation methods in various fields",Remote Sensing and Land Use,false,0,https://openalex.org/S2764687352,1603,false,false
Infrared Technology,Kunming Physics Institute,,9,"advanced measurement and detection methods,infrared target detection methodologies,optical systems and laser technology,advanced algorithms and applications,calibration and measurement techniques",Advanced Measurement and Detection Methods,false,0,https://openalex.org/S2764886131,1603,false,false
Japanese Journal of Medicine,The Japanese Society of Internal Medicine,0021-5120,28,"liver disease diagnosis and treatment,diet and metabolism studies,systemic lupus erythematosus research,diabetes and associated disorders,lipoproteins and cardiovascular health",Liver Disease Diagnosis and Treatment,false,0,https://openalex.org/S2754830761,1602,false,false
Journal of Nonlinear Science,Springer Science+Business Media,0938-8974,89,"nonlinear dynamics and pattern formation,quantum chaos and dynamical systems,nonlinear waves and solitons,nonlinear photonic systems,navier-stokes equation solutions",Nonlinear Dynamics and Pattern Formation,false,2290,https://openalex.org/S131276044,1601,false,false
Applied Clinical Informatics,Thieme Medical Publishers (Germany),1869-0327,63,"electronic health records systems,healthcare systems and technology,mobile health and mhealth applications,patient safety and medication errors,biomedical text mining and ontologies",Electronic Health Records Systems,false,0,https://openalex.org/S187139995,1601,false,false
International Journal of Pedagogics,International Journal of Pedagogics,2771-2281,4,"education, innovation and language studies,educational methods and teacher development,educational innovations and challenges,foreign language teaching methods,educational practices and challenges","Education, Innovation and Language Studies",true,0,https://openalex.org/S4387280628,1601,true,false
EJNMMI Research,Springer Science+Business Media,2191-219X,71,"medical imaging techniques and applications,radiopharmaceutical chemistry and applications,radiomics and machine learning in medical imaging,prostate cancer treatment and research,advanced mri techniques and applications",Medical Imaging Techniques and Applications,true,1890,https://openalex.org/S2764570898,1592,true,true
Computer Optics,Samara National Research University,0134-2452,37,"orbital angular momentum in optics,photonic and optical devices,optical coatings and gratings,advanced optical system design,photonic crystals and applications",Orbital Angular Momentum in Optics,true,0,https://openalex.org/S2764871730,1591,true,true
ACS Reagent Chemicals,ACS Reagent Chemicals,,6,"metabolism and genetic disorders,chemical synthesis and characterization,renal function and acid-base balance,advanced chemical sensor technologies,medical imaging and pathology studies",Metabolism and Genetic Disorders,false,0,https://openalex.org/S4363604282,1591,false,false
Frontiers of Computer Science,Higher Education Press,2095-2228,57,"topic modeling,cryptography and data security,cloud computing and resource management,data management and algorithms,advanced graph neural networks",Topic Modeling,false,2290,https://openalex.org/S4210231404,1590,false,false
Nature Electronics,Nature Portfolio,2520-1131,177,"advanced memory and neural computing,advanced sensor and energy harvesting materials,ferroelectric and negative capacitance devices,2d materials and applications,graphene research and applications",Advanced Memory and Neural Computing,false,9750,https://openalex.org/S4210239724,1589,false,false
Acta Medicinae Sinica,Acta Medicinae Sinica,,4,"medical research and treatments,traditional chinese medicine studies,healthcare and venom research,neurological disease mechanisms and treatments,pharmacological effects of natural compounds",Medical Research and Treatments,false,0,https://openalex.org/S4306500406,1585,false,false
Dicle Medical Journal / Dicle Tip Dergisi,Dicle University Medical School,1300-2945,19,"inflammatory biomarkers in disease prognosis,covid-19 clinical research studies,anesthesia and pain management,venous thromboembolism diagnosis and management,gastrointestinal disorders and treatments",Inflammatory Biomarkers in Disease Prognosis,true,0,https://openalex.org/S2738126186,1584,true,false
Nuclear Medicine and Molecular Imaging,Springer Science+Business Media,1869-3474,41,"medical imaging techniques and applications,radiopharmaceutical chemistry and applications,radiomics and machine learning in medical imaging,medical imaging and pathology studies,thyroid cancer diagnosis and treatment",Medical Imaging Techniques and Applications,false,2790,https://openalex.org/S201806951,1582,false,false
Vocational Education,Vocational Education,2160-4398,4,"educational reforms and innovations,medical research and treatments,ideological and political education,innovative educational techniques,regional development and environment",Educational Reforms and Innovations,false,0,https://openalex.org/S2764991040,1581,false,false
Contemporary Diagnostic Radiology,Lippincott Williams & Wilkins,0149-9009,11,"medical imaging and pathology studies,breast lesions and carcinomas,diverse scientific and economic studies,human auditory perception and evaluation,radiomics and machine learning in medical imaging",Medical Imaging and Pathology Studies,false,0,https://openalex.org/S2764663774,1580,false,false
Argumentation,Springer Nature,0920-427X,62,"multi-agent systems and negotiation,language, metaphor, and cognition,epistemology, ethics, and metaphysics,discourse analysis in language studies,rhetoric and communication studies",Multi-Agent Systems and Negotiation,false,2290,https://openalex.org/S12198553,1579,false,false
日本写真学会誌,日本写真学会誌,,2,"legal and regulatory analysis,linguistic, cultural, and literary studies,military technology and strategies,photography and visual culture,pigment synthesis and properties",Legal and Regulatory Analysis,false,0,https://openalex.org/S4306550444,1579,false,false
Transactions of the American Institute of Electrical Engineers Part I Communication and Electronics,Institute of Electrical and Electronics Engineers,0097-2452,33,"sensor technology and measurement systems,power line communications and noise,electric motor design and analysis,magnetic field sensors techniques,magnetic properties and applications",Sensor Technology and Measurement Systems,false,0,https://openalex.org/S4210197471,1578,false,false
中国物理C：英文版,中国物理C：英文版,,4,"quantum chromodynamics and particle interactions,particle physics theoretical and experimental studies,particle accelerators and beam dynamics,high-energy particle collisions research,particle accelerators and free-electron lasers",Quantum Chromodynamics and Particle Interactions,false,0,https://openalex.org/S4306541988,1577,false,false
Health Informatics Journal,SAGE Publishing,1460-4582,78,"electronic health records systems,mobile health and mhealth applications,health literacy and information accessibility,healthcare systems and technology,digital mental health interventions",Electronic Health Records Systems,true,1500,https://openalex.org/S201800618,1576,true,true
Encyclopedia of Algorithms,Encyclopedia of Algorithms,,21,"algorithms and data compression,advanced graph theory research,complexity and algorithms in graphs,optimization and search problems,computational geometry and mesh generation",Algorithms and Data Compression,false,0,https://openalex.org/S4306509317,1574,false,false
Heritage Science,Springer Science+Business Media,2050-7445,57,"cultural heritage materials analysis,conservation techniques and studies,building materials and conservation,3d surveying and cultural heritage,archaeology and ancient environmental studies",Cultural Heritage Materials Analysis,true,1490,https://openalex.org/S2736968195,1573,true,true
Clinical Oncology and Cancer Research,Springer Nature,1674-5361,8,"gastric cancer management and outcomes,lung cancer treatments and mutations,breast cancer treatment studies,lung cancer diagnosis and treatment,metastasis and carcinoma case studies",Gastric Cancer Management and Outcomes,false,0,https://openalex.org/S197651592,1572,false,false
Clinical Thyroidology,"Mary Ann Liebert, Inc.",2329-9711,8,"thyroid cancer diagnosis and treatment,thyroid disorders and treatments,thyroid and parathyroid surgery,head and neck anomalies,vitamin d research studies",Thyroid Cancer Diagnosis and Treatment,false,0,https://openalex.org/S2764739025,1567,false,false
Yearbook of Medical Informatics,Georg Thieme Verlag,0943-4747,65,"electronic health records systems,biomedical text mining and ontologies,mobile health and mhealth applications,artificial intelligence in healthcare and education,medical coding and health information",Electronic Health Records Systems,false,0,https://openalex.org/S4210231870,1567,false,false
Computers in Physics,American Institute of Physics,0894-1866,76,"computational physics and python applications,distributed and parallel computing systems,parallel computing and optimization techniques,diverse scientific and economic studies,experimental learning in engineering",Computational Physics and Python Applications,false,0,https://openalex.org/S204599871,1566,false,false
ACM Transactions on Information Systems,ACM Transactions on Information Systems,1046-8188,152,"recommender systems and techniques,topic modeling,advanced graph neural networks,information retrieval and search behavior,data management and algorithms",Recommender Systems and Techniques,false,0,https://openalex.org/S4394735545,1566,false,false
International Journal of Man-Machine Studies,Academic Press,0020-7373,126,"ai-based problem solving and planning,speech and dialogue systems,semantic web and ontologies,usability and user interface design,software engineering research",AI-based Problem Solving and Planning,false,0,https://openalex.org/S4210225790,1565,false,false
Social Network Analysis and Mining,Springer Science+Business Media,1869-5450,66,"complex network analysis techniques,opinion dynamics and social influence,misinformation and its impacts,sentiment analysis and opinion mining,spam and phishing detection",Complex Network Analysis Techniques,false,2390,https://openalex.org/S2764891196,1563,false,false
2009 ICCAS-SICE,2009 ICCAS-SICE,,22,"advanced control systems optimization,robotic path planning algorithms,fault detection and control systems,adaptive control of nonlinear systems,iterative learning control systems",Advanced Control Systems Optimization,false,0,https://openalex.org/S4306497717,1562,false,false
Prepared for,Prepared for,,13,"particle physics theoretical and experimental studies,quantum chromodynamics and particle interactions,particle accelerators and free-electron lasers,high-energy particle collisions research,particle accelerators and beam dynamics",Particle physics theoretical and experimental studies,false,0,https://openalex.org/S4306523109,1560,false,false
Neutron News,Taylor & Francis,1044-8632,33,"nuclear physics and applications,atomic and subatomic physics research,nuclear reactor physics and engineering,radiation detection and scintillator technologies,human auditory perception and evaluation",Nuclear Physics and Applications,false,0,https://openalex.org/S168878583,1559,false,false
Nucleonics  (U.S.)     Ceased publication,Nucleonics  (U.S.)     Ceased publication,,22,"nuclear reactor physics and engineering,nuclear physics and applications,graphite, nuclear technology, radiation studies,nuclear materials and properties,nuclear and radioactivity studies",Nuclear reactor physics and engineering,false,0,https://openalex.org/S4306521155,1559,false,false
核技术：英文版,核技术：英文版,,9,"nuclear physics and applications,medical imaging techniques and applications,radiopharmaceutical chemistry and applications,radiation detection and scintillator technologies,nuclear reactor physics and engineering",Nuclear Physics and Applications,false,0,https://openalex.org/S4306552724,1559,false,false
OMICS A Journal of Integrative Biology,"Mary Ann Liebert, Inc.",1536-2310,83,"bioinformatics and genomic networks,metabolomics and mass spectrometry studies,gene expression and cancer classification,genomics and phylogenetic studies,genetics, bioinformatics, and biomedical research",Bioinformatics and Genomic Networks,false,0,https://openalex.org/S116972989,1557,false,false
International Journal of Computing and Digital Systems,International Journal of Computing and Digital Systems,2210-142X,29,"network security and intrusion detection,iot and edge/fog computing,brain tumor detection and classification,advanced malware detection techniques,smart agriculture and ai",Network Security and Intrusion Detection,true,0,https://openalex.org/S2765015152,1552,true,true
自我保健,自我保健,,0,"legal and regulatory analysis,military technology and strategies,linguistic, cultural, and literary studies,regional development and environment,medical research and treatments",Legal and Regulatory Analysis,false,0,https://openalex.org/S4306557388,1551,false,false
Cognitive Computation,Springer Science+Business Media,1866-9956,87,"topic modeling,multi-criteria decision making,neural dynamics and brain function,sentiment analysis and opinion mining,neural networks and applications",Topic Modeling,false,2190,https://openalex.org/S133078663,1548,false,false
